feature,mean,std,min,max
return_1d,0.00038500823682344643,0.01212511957533862,-0.10942394566406544,0.14519737152295709
return_5d,0.001879469822770555,0.024633754070408676,-0.19793354611088598,0.19403579633820023
return_10d,0.0036759182497443244,0.03331876975699114,-0.2676874539683869,0.21580512484577952
rsi,54.72394623838287,11.455596592258384,16.802658878477374,87.1921779482456
rsi_norm,0.0944789247676573,0.2291119318451677,-0.6639468224304526,0.743843558964912
macd,0.5721308843825725,2.401606418074599,-21.678352051548558,8.979177617828498
macd_signal,0.57009746665105,2.2482369651395544,-18.143044463955963,7.964643933523586
macd_diff,0.0020334177315224676,0.7560835420580779,-5.636844876847183,5.627433916266938
sma_50,181.19907896991944,129.152347335096,55.922167739868165,585.9054650878907
sma_200,175.526038046317,122.12926520641689,57.79423757553101,545.1505139160156
sma_crossover,0.7191657086549516,0.4494436189954317,0.0,1.0
ema_12,182.75064898055538,131.15156074937548,53.34867519512575,596.6856582370502
ema_26,182.1785180961728,130.3945645708624,55.0967577329883,592.0409961159875
bb_high,188.1773301922084,134.83711661141393,56.311816863730435,607.2358365756028
bb_low,176.66359399971685,126.78270237263501,48.15564334835484,583.8129486136586
bb_width,6.546128504658916,4.442229675255127,0.9454058569975085,43.26982254720145
bb_percent,0.5856899614339406,0.3264240267547664,-0.47307962078046767,1.2924214103604532
atr,2.3866897269752645,2.009652690978735,0.6210414113514243,14.129973190491613
atr_pct,0.01418526687935546,0.008375338289194135,0.00370129540114555,0.07917923373513147
volume_ratio,1.011506554419948,0.34061385139036987,0.18137219137709687,4.182190813983615
obv,9984519521.776976,6853283811.566099,-853448600.0,19597830800.0
