feature,mean,std,min,max
return_1d,0.0007636770352347186,0.012863606657230107,-0.11978769761196761,0.08470527755167723
return_5d,0.003813703206447646,0.026524914338754202,-0.16196400068518946,0.12659871386388244
return_10d,0.007619225599580491,0.03607787614629257,-0.21772473019474903,0.16971114838902857
rsi,56.38177949694315,11.59750556433989,19.14940677724566,85.5874206248387
rsi_norm,0.12763558993886304,0.2319501112867978,-0.6170118644550868,0.711748412496774
macd,0.9235530314664214,3.0053128181408972,-12.517750376671245,10.178224636972345
macd_signal,0.9185772745462011,2.8088009619636956,-11.307333581787788,9.241611921239437
macd_diff,0.0049757569202202815,0.9471936763224349,-4.701736041133559,4.420905217036871
sma_50,182.59047128953813,124.08408939206268,41.34800338745117,507.4792791748047
sma_200,173.4317204106154,117.05942614835577,40.5400315284729,471.33183013916016
sma_crossover,0.851147174034695,0.3559931478986833,0.0,1.0
ema_12,185.09285499295584,126.114989276636,43.94946725917344,523.0745521666915
ema_26,184.1693019614894,125.32235442501847,43.04572760238644,516.9624004277807
bb_high,192.09654063954736,131.31887385220082,44.88536364956408,536.9360711581157
bb_low,177.01441978706072,120.197339476541,42.07503101901502,507.9016769276245
bb_width,7.574652933998255,4.0162960683796785,1.1616074198406179,34.75015485732753
bb_percent,0.6108132756999686,0.32174404345012925,-0.4378057857328874,1.31678930126107
atr,3.0402906135356784,2.598974001591676,0.4385309603126989,11.406833744540965
atr_pct,0.015403648426495982,0.006829172637685122,0.00582760067045097,0.06396433720383753
volume_ratio,1.0073993966515957,0.3630238874846929,0.24288903259103675,3.8671685810227863
obv,2692236579.1270285,1031448188.7761579,380817500.0,5008779500.0
