#{"t_start": 1762521036.3746104, "env_id": "None"}
r,l,t
-64682.039649,4321,15.462109
-30658.383377,4321,37.375963
-6315.503355,4321,59.600054
-28243.965373,4321,87.90884
-23180.928979,4321,110.614143
-13832.03173,4321,132.373794
